Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
1894,54.4,  7.3,99.9,44.6,151.7,  3.5,  7.4,43.0,58.9,55.8,98.6,  0.1
1895,32.0,35.3,46.7,89.9,48.9,68.5,  0.0,32.4,86.9,44.1,31.8,29.5
1896,  2.5,10.6,38.8,  8.4,58.7,23.3,79.5,161.6,52.5,24.5,131.7,30.2
1897,53.8,38.8,17.9,51.5,11.5,  1.9,  0.0,85.4,210.9,75.1,113.5,74.8
1898,249.7,  3.2,150.8,25.8,16.5,27.2,  1.9,  0.0,24.9,57.8,125.9,  0.0
1899,37.4,10.0,80.6,24.8,93.8,75.7,54.9,32.9,98.5,39.6,  2.4,48.2
1900,  1.7,90.3,71.0,  4.1,49.8,20.8,10.6,107.9,63.9,75.0,109.3,  0.0
1901,62.1,20.5,69.6,34.5,37.0,178.5,122.7,  9.2,121.6,154.8,10.8,209.3
1902,  8.7,43.6,  6.0,149.1,51.6,62.9,25.5,109.0,63.5,43.4,28.0,70.4
1903,106.7,  0.0,19.5,41.6,46.0,54.4,  9.5,  1.1,45.3,56.9,  0.0,87.4
1904,131.3,56.2,29.8,58.8,10.7,47.6,  0.0,30.4,41.3,  4.6,24.7,12.6
1905,67.7,  0.0,24.1,30.4,78.6,60.2,10.3,  2.3,92.6,65.7,59.8,34.2
1906,19.3,92.7,79.3,102.2,26.7,13.6,55.6,  7.6,52.1,82.2,15.6,127.2
1907,15.8,16.2,  0.9,99.0,109.5,53.4,  9.4,  0.9,167.8,227.2,91.2,27.2
1908,45.5,25.6,86.6,117.7,11.2,26.3,45.3,  6.8,40.1,53.6,116.0,51.3
1909,35.3,29.1,36.4,  8.1,97.1,26.2,12.2,71.5,102.3,56.9,58.6,14.2
1910,  0.9,  1.7,87.3,31.7,103.2,  7.8,27.1,39.9,179.4,30.7,  8.4,34.5
1911,59.4,27.9,82.1,88.4,34.1,32.8,  0.0,  1.5,19.3,128.2,23.9,  8.7
1912,54.5,20.8,  8.9,53.1,31.7,34.5,55.6,54.5,68.6,22.9,18.1,24.1
1913,48.4,102.0,39.0,77.0,47.9,18.4,  7.5,50.4,157.8,30.9,  0.0,31.0
1914,18.8,18.2,33.1,30.1,171.2,27.6,82.2,30.9,27.3,236.3,39.3,25.0
1915,13.8,12.2,28.8,115.4,102.2,66.1,29.1,39.0,71.0,35.1,78.1,50.1
1916,  0.0,132.7,35.2,79.0,24.0,  4.8,  1.0,  7.5,73.1,93.6,40.2,58.3
1917,46.4,121.2,39.2,44.6,78.4,26.3,11.6,40.3,30.8,  6.3,36.6,166.1
1918,12.4,  6.9,114.1,89.4,53.1,30.1,25.0,10.2,15.6,185.7,147.3,  5.0
1919,42.7,22.8,46.8,19.7,45.3,69.4,  1.5,21.4,61.9,96.0,58.6,  3.2
1920,32.6,25.5,44.5,10.9,  9.7,61.8,67.1,44.0,99.5,178.6,60.0,46.0
1921,  0.7,124.8,102.1,40.4,159.0,  9.6,  9.7,100.5,16.2,  9.4,289.2,24.7
1922,35.1,20.9,79.6,31.9,27.6,92.3,73.8,  5.4,77.8,81.5,  7.3,17.5
1923,20.9,  5.5,103.3,101.1,80.3,20.8,  1.5,39.2,93.1,36.1,89.5,21.9
1924,20.6,72.3,24.0,13.5,15.2,25.5,15.9,48.7,46.0,57.0,75.7,29.4
1925,  9.7,29.8,122.7,23.4,72.8,  5.4,25.1,32.5,28.4,177.0,87.8,22.7
1926,31.9,16.4,  8.1,36.2,101.1,  7.6,57.0,164.1,  8.5,97.9,121.0,13.1
1927,  2.3,38.1,39.8,  9.9,44.6,24.7,10.5,  5.7,92.7,108.2,50.8,128.4
1928,23.2,95.1,112.9,45.8,49.7,  0.7,  3.0,  1.0,27.2,258.5,69.4,62.2
1929,24.7,17.6,32.2,35.6,26.2,51.8,  0.0,86.3,34.8,69.5,43.7,23.7
1930,123.0,49.8,78.0,38.5,46.1,24.9,13.6,46.5,46.0,33.9,15.1,26.0
1931,  1.4,32.1,151.8,25.4,66.8,  6.9,  2.8,60.9,102.7,99.4,64.1,22.6
1932,25.0,42.7,63.3,46.6,48.9,57.2,163.2,50.2,66.6,20.2,72.0,146.0
1933,27.3,26.6,53.8,56.1,39.5,100.8,  3.6,  8.6,140.1,15.1,132.8,107.2
1934,  3.3,24.0,15.9,68.4,  6.0,20.6,  0.2,62.7,97.2,29.7,172.3,16.7
1935,16.5,19.7,122.4,18.7,100.9,  0.2,22.3,34.8,37.3,85.8,33.2,26.4
1936,  4.9,14.5,98.8,40.9,165.5,46.5,24.0,  5.3,32.6,38.8,183.1,35.2
1937,13.4,12.6,57.0,21.8,26.9,83.2,12.8,  7.8,18.8,141.3,  6.6,  1.0
1938,  0.0,15.5,24.5,54.2,61.3,23.1,  6.9,111.1,170.9,12.4,  5.9,44.0
1939,48.9,18.5,47.1,44.4,65.2,69.2,  7.7,85.5,128.4,47.4,32.0,80.1
1940,23.6,27.3,33.7,11.8,48.4,35.6,72.4,27.5,113.0,53.9,  1.6,35.0
1941,140.6,  9.7,  4.1,49.1,38.1,35.2,70.7,50.8,52.2,41.0,91.2,  2.4
1942,24.4,68.3,15.9,185.7,  7.1,45.5,22.7,93.7,52.0,35.4,27.6,43.2
1943,  3.6,24.3,83.9,17.6,53.0,  9.3,83.7,21.1,112.9,104.1,131.8,222.5
1944,  0.0,275.1,26.2,75.4,29.5,44.1,  2.3,78.9,87.0,55.1,24.0,48.3
1945,124.6,11.7,13.8,32.8,32.9,13.9,10.2,95.9,  1.4,34.6,37.8,36.3
1946,83.2,  3.8,51.4,106.9,91.7,43.5,  0.0,55.7,38.4,101.6,14.1,28.4
1947,14.5,79.3,19.4,  6.1,30.9,  2.9,41.5,28.0,60.1,57.3,59.4,44.2
1948,32.8,88.2,78.4,42.6,62.6,71.0,  5.3,11.5,78.5,74.0, 0.0,84.3
1949,  3.5,32.3,41.7,53.8,122.6,15.7,  4.4,24.8,26.1,51.1,34.1,39.2
1950,  7.3,  4.8,91.5,66.8,47.1,31.8,  0.0,110.8,28.5,20.1,  6.4,64.6
1951,56.8,30.4,74.2,66.3,87.8,41.3,36.7,124.3,56.0,281.1,88.5,21.3
1952,25.8,26.3,36.5,31.9,21.4,37.6,50.7,  2.4,77.1,48.8,49.0,14.3
1953,  0.2,14.3,30.7,24.5,34.4,123.6,52.6,13.3,135.3,151.2,  0.7,12.3
1954,37.6,46.7,80.2,82.9,122.0,55.4,48.3,  7.6,57.0,  4.1,  8.4,29.7
1955,94.9,47.0,45.0,  9.0,  3.3,72.2,32.4,54.2,60.2,87.4,10.1,31.2
1956,14.5,17.4,83.9,57.1,68.4,24.7,  7.4,60.8,10.2,65.2,89.2,15.1
1957,  2.2,16.7,  1.6,94.4,56.0,46.8,37.8,46.1,24.8,79.9,72.3,35.3
1958,50.4,  0.0,26.6,47.4,16.5,31.1,61.5,20.7,16.8,33.0,63.8,98.1
1959,  1.8,71.8,135.1,  8.9,143.2,45.0,38.0,10.2,284.5,140.4,52.0,32.9
1960,21.6,34.8,89.6,15.6,  3.6,50.9,45.4,56.1,62.3,103.4,16.1,83.3
1961,51.9,  0.4,  8.0,30.8,39.6,24.2,24.4,34.5,108.3,13.4,78.2,  3.4
1962,57.3,77.2,52.0,60.5,77.4,10.5,  7.3,  3.4,149.9,93.9,170.7,78.9
1963,127.9,43.6,11.6,56.7,16.1,72.5,17.7,88.4,173.3,55.3,78.1,49.6
1964,  9.0,75.9,57.1,39.0,26.4,30.2,  1.9,58.9,59.6,17.6,39.1,67.2
1965,15.9,32.6,30.1,40.2,14.1,  7.4,28.7,16.2,55.3,285.1,41.8,18.6
1966,29.9,44.2,13.7,76.7,57.1,21.7,51.4,62.6,43.5,134.1,28.2,  0.0
1967,21.0,26.0,42.6,71.0,37.6,42.9,  1.2,58.4,25.0,113.8,110.4,20.4
1968,  1.9,35.9,33.7,45.7,45.0,95.5,  5.5,85.4,17.6,  0.8,159.6,51.5
1969,27.4,31.6,92.7,153.7,21.5,26.6,17.0,51.4,122.9,138.5,44.4,35.8
1970,29.2,  0.0,38.4,19.7,79.6,  6.1,13.9,25.8,  2.0,132.0,32.4,109.0
1971,19.4,  5.6,69.1,97.5,75.5,41.7,41.6,25.0,121.3,141.1,119.1,365.8
1972,87.4,36.8,49.1,76.5,138.9,71.1,  6.2,75.9,121.2,65.8,29.5,37.1
1973,15.2,  3.7,24.4,54.3,43.9,56.3,  5.7,49.6,77.4,  4.9,16.0,105.2
1974,  6.4,33.6,110.0,81.8,71.9,39.3,  8.5,93.7,61.0,48.7,  4.3,  0.0
1975,32.1,42.4,52.7,43.1,67.7,48.9,  7.2,115.7,70.0,14.5,  4.7,50.4
1976,  6.7,81.9,10.2,26.3,33.6,40.9,121.2,196.2,36.6,41.0,23.4,90.8
1977,81.0,  7.0,49.2,56.7,235.1,95.9,77.4,13.5,16.1,46.9,71.3,65.8
1978,31.7,24.4,64.7,118.5,23.8,45.5,19.9,  6.3,67.0,64.5,  0.4,38.2
1979,262.4,12.4,23.7,17.9,35.2,12.7,  7.5,20.3,92.8,210.5,31.5,37.0
1980,18.4,48.9,20.9,44.1,112.2,76.3,16.9,72.0,21.1,25.4,71.2,11.5
1981,55.9,49.9,51.1,58.2,43.9,60.9,45.5,72.7,35.6,15.8,  0.0,18.8
1982,57.0,163.8,125.1,  9.3,12.0,17.7,30.5,95.8,10.9,64.0,122.4,  5.4
1983,  0.0,72.7,22.6,  3.4,27.7,37.5,  0.6,63.4,17.5,86.7,330.4,16.2
1984,15.5,40.9,161.0,19.5,146.9,35.3,  1.7,83.1,46.3,10.6,95.5,13.4
1985,17.7,15.9,17.5,55.0,85.4,21.2,16.4,  2.0,  2.9,145.2,67.5,17.2
1986,92.5,25.0,28.2,93.0,42.1,11.9,29.6,26.9,84.4,78.7,18.0,55.2
1987,66.8,128.5,25.5,12.8,48.4,  3.1,76.5,23.1,68.4,325.4,105.1,98.7
1988,143.1,  0.0,  7.8,75.2,80.3,40.1,  2.0,28.3,75.8,56.0,152.8,  0.0
1989,  4.2,13.7,31.3,80.3,27.3,29.0,  3.7,65.6,59.9,17.9,135.8,30.5
1990,13.7,  0.0,23.1,83.3,72.2,45.9,  8.0,26.6,57.7,173.7,76.0,17.9
1991,41.8,69.6,93.8,41.8,148.1,  5.6,  4.8,67.3,39.1,74.5,64.9,168.0
